epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,3949.56,1.04557,0.84287,1.46932,0.82604,0.90221,0.89632,0.5634,1.33431,0.81131,2.05985,0.000588479,0.000588479,0.000588479
66,4010.48,1.0287,0.84439,1.46904,0.82382,0.89,0.90717,0.57148,1.32497,0.8245,2.05898,0.000560549,0.000560549,0.000560549
67,4071.05,1.03028,0.86582,1.47209,0.81867,0.90296,0.91792,0.57504,1.27671,0.77679,1.98668,0.000533064,0.000533064,0.000533064
68,4131.81,1.01707,0.83187,1.47305,0.86806,0.85534,0.911,0.54492,1.29917,0.8229,2.00567,0.000506049,0.000506049,0.000506049
69,4192.66,1.00725,0.82457,1.45408,0.8698,0.85,0.91551,0.5827,1.30915,0.78433,2.01846,0.000479531,0.000479531,0.000479531
70,4253.45,1.00349,0.80468,1.44967,0.86729,0.84962,0.89181,0.564,1.30804,0.8221,2.01338,0.000453537,0.000453537,0.000453537
71,4314.19,1.02002,0.82758,1.47938,0.84924,0.87,0.89185,0.56703,1.32713,0.83025,2.04063,0.000428093,0.000428093,0.000428093
72,4375.24,0.99831,0.81071,1.44826,0.87937,0.87,0.91602,0.5789,1.31938,0.74384,2.02393,0.000403222,0.000403222,0.000403222
73,4436.22,1.00491,0.80256,1.45482,0.8062,0.91521,0.90736,0.57323,1.28399,0.77325,1.99532,0.00037895,0.00037895,0.00037895
74,4497.18,0.98493,0.7969,1.43901,0.8656,0.88,0.93343,0.58414,1.32292,0.76096,2.03789,0.000355301,0.000355301,0.000355301
75,4558.04,1.03776,0.84132,1.48781,0.85474,0.82,0.90958,0.58982,1.27678,0.78738,1.99144,0.000332298,0.000332298,0.000332298
76,4619.13,1.0003,0.80108,1.43856,0.81669,0.89,0.9153,0.59715,1.27919,0.75846,1.97318,0.000309964,0.000309964,0.000309964
77,4679.99,0.99495,0.79539,1.4505,0.86236,0.89,0.92331,0.60341,1.2837,0.74711,2.02156,0.000288321,0.000288321,0.000288321
